Genome	Domain	Phylum	Class	Order	Family	Genus	Species	GC Content	Genome Length
MGYG000000582	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus garvieae	38.38	2064828
MGYG000000583	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor	Acetatifactor sp900766575	46.69	2865631
MGYG000000584	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp900544195	51.68	3056711
MGYG000000585	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	UMGS124	UMGS124		62.21	3411763
MGYG000000586	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	TF01-11		50.73	2012106
MGYG000000587	Bacteria	Firmicutes_A	Clostridia	Monoglobales_A	UBA1381			45.17	1865333
MGYG000000588	Bacteria	Firmicutes	Bacilli	ML615J-28	CAG-313	UMGS75		29.94	1739916
MGYG000000589	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium		59.95	2241135
MGYG000000590	Bacteria	Proteobacteria	Alphaproteobacteria	Rs-D84	Rs-D84	Rs-D84	Rs-D84 sp900549365	45.98	860151
MGYG000000591	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A succinatutens_A	46.62	2471478
MGYG000000592	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9		51.72	2977283
MGYG000000593	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.48	1980733
MGYG000000594	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.06	2150081
MGYG000000595	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UMGS1293	UMGS1293 sp900754495	65.34	2259280
MGYG000000596	Bacteria	Verrucomicrobiota	Lentisphaeria	UBA1407	UBA1407	UBA1724	UBA1724 sp900548225	58.53	2231726
MGYG000000597	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia		62.53	2205762
MGYG000000598	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.28	2170707
MGYG000000599	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.43	2083618
MGYG000000600	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-791	CAG-791 sp000431495	51.25	2612842
MGYG000000601	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Mobilibacterium	Mobilibacterium timonense	53.75	1440391
MGYG000000602	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427	CAG-1427 sp900544455	53.39	1953493
MGYG000000603	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	UMGS1502	UMGS1502 sp900552365	57.2	1763859
MGYG000000604	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829	UBA1829	UBA1829 sp900549415	54.75	3604218
MGYG000000605	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C		46.16	2224694
MGYG000000606	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000433355	51.59	3291011
MGYG000000607	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1491		35.6	1023795
MGYG000000608	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	UMGS1518		46.55	2613041
MGYG000000609	Bacteria	Firmicutes_A	Clostridia	TANB77	UBA1234	UBA1234		31.2	1535020
MGYG000000610	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAAFZY01		42.02	1515472
MGYG000000611	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia	Senegalimassilia faecalis	61.56	2306701
MGYG000000612	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera		54.88	1970930
MGYG000000613	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	UMGS124	UMGS124		62.51	3275009
MGYG000000614	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella	Parolsenella massiliensis	66.07	1784936
MGYG000000615	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-382	UBA1752	UBA1752 sp900554405	53.78	1737072
MGYG000000616	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CAG-1427		54.2	1717164
MGYG000000617	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	RUG410		42.94	1570984
MGYG000000618	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAG-196	CAG-196 sp900553895	33.8	1703393
MGYG000000619	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp900540625	52.18	2509514
MGYG000000620	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Parolsenella	Parolsenella uli_B	66.81	2212641
MGYG000000621	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Acetatifactor		46.34	3027354
MGYG000000622	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	UBA636	UBA636 sp900546285	32.86	1753240
MGYG000000623	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	Blautia_A sp900763175	44.12	3121730
MGYG000000624	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duodenibacillus		52.54	2427641
MGYG000000625	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127		43.51	2232283
MGYG000000626	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eubacterium_J		47.58	2453643
MGYG000000627	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-632		45.95	2305272
MGYG000000628	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-917	CAG-475		45.59	1636358
MGYG000000630	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister		52.14	2325548
MGYG000000631	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002299635	51.39	2636006
MGYG000000632	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Sutterella		60.07	2314202
MGYG000000633	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis	Victivallis sp900768515	61.03	2845403
MGYG000000634	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	SFHR01		42.96	1737692
MGYG000000635	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Ellagibacter		61.95	2022414
MGYG000000636	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger	Gemmiger sp004555405	54.94	2454584
MGYG000000637	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	CAG-495		43.81	1277650
MGYG000000638	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira	Lachnospira sp900547255	38.79	2352186
MGYG000000639	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp900541945	41.9	2201404
MGYG000000640	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552	UBA10677		51.7	2090947
MGYG000000641	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.18	2188417
MGYG000000642	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium_A		48.48	1644124
MGYG000000643	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia		62.64	2151853
MGYG000000644	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900546535	45.07	3556677
MGYG000000645	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		59.79	2128522
MGYG000000646	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Eubacterium_R	Eubacterium_R sp000436835	37.81	2069247
MGYG000000647	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	CAG-390	CAG-390 sp900753295	54.15	2268104
MGYG000000648	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens_G	60.11	2024638
MGYG000000649	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900758845	60.09	2118072
MGYG000000650	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster		48.22	2883736
MGYG000000651	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp002404795	61.51	2239520
MGYG000000652	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides togonis	48.93	3410500
MGYG000000653	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA11471	UBA11471	UBA11471 sp000434215	45.63	2583563
MGYG000000654	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	MX-02	MX-02 sp006954405	47.63	1448574
MGYG000000655	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemanella	Holdemanella sp900547815	33.32	2321148
MGYG000000656	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269		27.77	1593882
MGYG000000657	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	Pseudomonas_E bubulae	58.57	4450077
MGYG000000658	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia		58.89	1755704
MGYG000000659	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA10281	UBA10281 sp900556195	45.76	1920550
MGYG000000660	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.01	2038987
MGYG000000661	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-302		27.7	1287314
MGYG000000662	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia		32.61	1413555
MGYG000000663	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS1668	UMGS1668 sp900768105	47.58	1768787
MGYG000000664	Bacteria	Firmicutes	Bacilli	RFN20	CAG-826	UBA733	UBA733 sp900550795	34.95	1822500
MGYG000000665	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273		28.36	1021727
MGYG000000666	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	UBA1829			55.63	4523435
MGYG000000667	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp900546835	54.47	2502097
MGYG000000668	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-238	CAG-238 sp900551415	50.11	2648761
MGYG000000669	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-488	CAG-488 sp000434055	44.59	2227584
MGYG000000670	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Faecalibacillus	Faecalibacillus sp900544435	28.87	2790604
MGYG000000671	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp002320515	51.95	2416932
MGYG000000672	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp000431015	52.9	2733599
MGYG000000673	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	CAG-873 sp004552485	59.72	2306526
MGYG000000674	Bacteria	Firmicutes_A	Clostridia	UMGS1810	UMGS1810			41.56	2404419
MGYG000000675	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides congonensis	43.3	5782172
MGYG000000676	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia		54.74	2188584
MGYG000000677	Bacteria	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	UBA5920		40.18	2015211
MGYG000000678	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002491165	55.45	2629642
MGYG000000679	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UMGS1470	UMGS1470 sp900766395	36.83	1043255
MGYG000000680	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402		47.18	2323759
MGYG000000681	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus_A	Lactococcus_A raffinolactis	40.76	1472277
MGYG000000682	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4334		45.62	2426258
MGYG000000683	Bacteria	Proteobacteria	Alphaproteobacteria	RF32	CAG-977	CAG-977	CAG-977 sp000434295	47.83	2086024
MGYG000000684	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		59.8	2175265
MGYG000000685	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-590	CAG-590 sp900552885	41.21	2863940
MGYG000000686	Bacteria	Firmicutes	Bacilli	RFN20	CAG-826	UBA733	UBA733 sp900767605	45.78	1824593
MGYG000000687	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes		35.7	2211452
MGYG000000688	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.39	1353298
MGYG000000689	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	Angelakisella sp003453215	54.51	1802380
MGYG000000690	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-590	CAG-590 sp000431135	40.73	2764780
MGYG000000691	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110		57.91	1993212
MGYG000000692	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia sp900543155	43.62	2730358
MGYG000000693	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.31	2022975
MGYG000000694	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		59.81	2080543
MGYG000000695	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000436035	45.93	3484843
MGYG000000696	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp900549585	42.5	3184747
MGYG000000698	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	DTU072	CAG-1782		46.35	1742225
MGYG000000699	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia		38.35	1671307
MGYG000000700	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4372	UBA4372 sp900543815	55.61	2636252
MGYG000000701	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900552675	47.01	3061545
MGYG000000702	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.3	1965317
MGYG000000703	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	CAG-83 sp900552725	59.85	2495318
MGYG000000704	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UMGS1279		50.17	1970599
MGYG000000705	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-917	CAG-475	CAG-475 sp000434435	46.38	1649544
MGYG000000706	Bacteria	Firmicutes_A	Clostridia	Monoglobales	Monoglobaceae	UMGS1326		41.83	2490616
MGYG000000707	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900546575	47.99	3151200
MGYG000000708	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Succinivibrionaceae	Succinivibrio		44.35	1500808
MGYG000000709	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA738		59.78	1364323
MGYG000000710	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110		57.9	2205840
MGYG000000711	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-238		46.84	1966926
MGYG000000712	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium_B	Fusobacterium_B sp900541465	30.36	2138816
MGYG000000713	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83		57.31	1787047
MGYG000000714	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	CAG-451 sp000438295	27.68	1374960
MGYG000000715	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	CAG-110 sp900544705	58.23	2198914
MGYG000000716	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.46	2039168
MGYG000000717	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Duodenibacillus	Duodenibacillus sp900762555	61.84	1934275
MGYG000000718	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	SFDB01	SFDB01 sp004558825	50.42	1975049
MGYG000000719	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	HGM12650		53.21	1825952
MGYG000000720	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Victivallis		58.45	3759035
MGYG000000721	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NC2004		43.05	2405891
MGYG000000722	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp900545245	50.22	2915024
MGYG000000723	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-177	CAG-177 sp003514385	51.49	2208348
MGYG000000724	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Gemmiger		60.85	1919940
MGYG000000725	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp000434475	51.96	2192750
MGYG000000726	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	CAG-180	CAG-180 sp004556705	42.75	1857870
MGYG000000727	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	SFFS01		60.18	2530364
MGYG000000728	Bacteria	Firmicutes_A	Clostridia	UBA1212				46.43	1947591
MGYG000000729	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	F23-B02	F23-B02 sp900545805	53.82	1856951
MGYG000000730	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	Phil1	Phil1 sp001940855	53.13	2096902
MGYG000000731	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		60.03	1796272
MGYG000000732	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-245		30.01	1710353
MGYG000000733	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia		48.38	1893651
MGYG000000734	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA10281	UBA10281 sp900548285	45.97	2140620
MGYG000000735	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA738		59.5	2273680
MGYG000000736	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110		56.51	1883440
MGYG000000737	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella		59.79	1638367
MGYG000000738	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269		28.94	934493
MGYG000000739	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Evtepia		66.74	2046079
MGYG000000740	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	CAG-312	CAG-312	CAG-312 sp001917305	58.44	2359825
MGYG000000741	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-170	CAG-170 sp900548625	58.69	2390173
MGYG000000742	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp900541605	51.82	2345274
MGYG000000743	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	CAG-110 sp000434635	56.77	2477350
MGYG000000744	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900550205	60.08	1909099
MGYG000000745	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74			59.64	2615728
MGYG000000746	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA1777		58	2046986
MGYG000000747	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74			58.85	2418810
MGYG000000748	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552	UBA10677	UBA10677 sp900762945	52.02	1946382
MGYG000000749	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-917	CAG-917		42.94	1250048
MGYG000000750	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	CAG-724		49.09	1783127
MGYG000000751	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11490		34.95	1147622
MGYG000000752	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA737		45.68	2697118
MGYG000000753	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	ER4	ER4 sp900768135	59.22	1854497
MGYG000000754	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sp900555155	41.83	1511164
MGYG000000755	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter sp013416015	35.73	1680879
MGYG000000756	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium sp002742445	56.17	1963853
MGYG000000757	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Negativicoccaceae	Negativicoccus	Negativicoccus massiliensis	53.08	982783
MGYG000000758	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_A	Peptoniphilus_A harei	35.23	1223939
MGYG000000759	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium		59.17	1836417
MGYG000000760	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella		45.72	2818339
MGYG000000762	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium glucuronolyticum	57.95	1520675
MGYG000000763	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas		53.19	1466466
MGYG000000764	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas_A	Porphyromonas_A sp900541275	56.35	1992577
MGYG000000765	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas_A	Porphyromonas_A bennonis	56.22	2007181
MGYG000000766	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Fenollaria	Fenollaria sp900539225	36.06	1523934
MGYG000000767	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Paraeggerthella	Paraeggerthella hongkongensis	61.43	2269129
MGYG000000768	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900542905	59.96	2207911
MGYG000000769	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900544875	59.93	2100050
MGYG000000770	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900544095	59.84	2217348
MGYG000000771	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis_E	35.65	1762765
MGYG000000772	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900541695	59.95	2044239
MGYG000000773	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp900539965	35.59	2056602
MGYG000000774	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp900543885	43.24	3366873
MGYG000000775	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium sp900551485	57.68	1891758
MGYG000000776	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Dialisteraceae	UBA5809	UBA5809 sp002417965	47.61	1658978
MGYG000000777	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900544135	60.02	2148033
MGYG000000778	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900541645	60.02	2085046
MGYG000000779	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000431975	50.1	2667664
MGYG000000780	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp900541475	59.84	2105610
MGYG000000781	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp900541515	47.54	3237958
MGYG000000782	Bacteria	Firmicutes_C	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium_A	Phascolarctobacterium_A sp900541915	42.53	1798867
MGYG000000783	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella_A	Veillonella_A sp900545795	38.94	2145785
MGYG000000784	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-417	CAG-417 sp000432835	27.76	1269692
MGYG000000785	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Lancefieldella	Lancefieldella sp900555335	47.5	1185697
MGYG000000786	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella sp900545205	39.01	1748688
MGYG000000787	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp002232035	59.77	2086603
